complaint_text,product
light gone,Electricity
bijli chali gayi,Electricity
power cut,Electricity
no current,Electricity
electrcity issue,Electricity
fuse down,Electricity
streetlight broken,Electricity
ligt blink,Electricity
power outage,Electricity
light fuse,Electricity
bulb burst,Electricity
tar tut gaya,Electricity
wire tut gayi,Electricity
transformer phat gaya,Electricity
light blink ho rahi hai,Electricity
bijli gayi,Electricity
light,Electricity
power,Electricity
current,Electricity
bijli,Electricity
light chali gayi,Electricity
light nahi aa rahi,Electricity
bijli band ho gayi,Electricity
power chala gaya,Electricity
power supply gone,Electricity
light cut ho gaya,Electricity
load shedding ho rahi hai,Electricity
current nahi hai,Electricity
bijli kaam nahi kar rahi,Electricity
tar latak raha hai,Electricity
tar loose hai,Electricity
wire jhul raha hai,Electricity
transformer se awaaz aa rahi,Electricity
transformer se dhuaan aa raha,Electricity
electric pole gir gaya,Electricity
bijli blink kar rahi hai,Electricity
light on off ho rahi hai,Electricity
current aa jaata hai fir chala jaata hai,Electricity
phase cut ho gaya,Electricity
single phase only,Electricity
3 phase nahi aa raha,Electricity
electric short circuit,Electricity
electric spark,Electricity
pole se spark aa raha,Electricity
meter kaam nahi kar raha,Electricity
meter band hai,Electricity
electric meter damage,Electricity
fuse ud gaya,Electricity
fuse box broken,Electricity
streetlight on nahi hai,Electricity
street light damage,Electricity
street light jal nahi rahi,Electricity
streetlight band,Electricity
pole light fuse,Electricity
light ka bulb foot gaya,Electricity
bulb kharab ho gaya,Electricity
tube light flicker kar rahi hai,Electricity
tube light band hai,Electricity
current weak hai,Electricity
voltage low,Electricity
voltage high,Electricity
light ki voltage zyada hai,Electricity
current se shock lag raha,Electricity
electric wire cut,Electricity
tar toot gaya,Electricity
pole gir gaya,Electricity
tar zameen pe gir gaya,Electricity
wire se chingari,Electricity
electric wire leak current,Electricity
switch board heat ho raha hai,Electricity
plug se spark aa raha,Electricity
socket damage,Electricity
plug kaam nahi kar raha,Electricity
apartment mein bijli gayi,Electricity
ghar mein light nahi hai,Electricity
office ka power cut,Electricity
shop ka bijli band,Electricity
market mein power nahi,Electricity
factory mein bijli gayi,Electricity
school mein light chali gayi,Electricity
hospital mein light band,Electricity
emergency power cut,Electricity
generator start nahi ho raha,Electricity
UPS kaam nahi kar raha,Electricity
inverter charge nahi ho raha,Electricity
electric panel damage,Electricity
MCB trip ho gaya,Electricity
electric board kaam nahi kar raha,Electricity
overhead wire damage,Electricity
underground cable cut,Electricity
electric pole bend,Electricity
tar loose ho gaya,Electricity
line se current nahi aa raha,Electricity
power restore karo,Electricity
light jalane ka request,Electricity
streetlight repair karo,Electricity
transformer replace karo,Electricity
tar fix karo,Electricity
voltage issue fix karo,Electricity
line kaam nahi kar rahi,Electricity
electric fault,Electricity
electric repair chahiye,Electricity
electric kaam pending,Electricity
load shedding problem,Electricity
light blink fix karo,Electricity
electric supply irregular,Electricity
current kab aayega,Electricity
bijli kab aayegi,Electricity
power ka time batao,Electricity
power cut schedule,Electricity
unexpected power cut,Electricity
sudden power cut,Electricity
line testing ho rahi hai,Electricity
electric wire hanging,Electricity
electric pole broken,Electricity
wire joint loose,Electricity
transformer blast,Electricity
tar se fire,Electricity
light repair urgent,Electricity
power failure,Electricity
electric blackout,Electricity
electric shutdown,Electricity
electric tripping,Electricity
short circuit repair,Electricity
power surge,Electricity
voltage fluctuation,Electricity
low voltage supply,Electricity
high voltage problem,Electricity
electric burn smell,Electricity
burning wire smell,Electricity
main switch off,Electricity
main line cut,Electricity
power ka connection cut,Electricity
bijli ka bill issue,Electricity
meter reading wrong,Electricity
meter ka display off,Electricity
meter seal broken,Electricity
meter change chahiye,Electricity
electric bill zyada aaya,Electricity
electric disconnection,Electricity
electric reconnection,Electricity
light repair karo,Electricity
power restore karo urgent,Electricity
tar replace karo,Electricity
pole repair karo,Electricity
streetlight install karo,Electricity
light jal nahi rahi,Electricity
lamp fuse ho gaya,Electricity
lamp post down,Electricity
pole wire loose,Electricity
electric accident,Electricity
electric hazard,Electricity
shock danger,Electricity
electric safety issue,Electricity
